Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID
The Namesake,2006,7.5,"21,861",Drama,"$13,569,248",tt0433416
Aquamarine,2006,5.4,"45,391","Comedy, Family, Fantasy","$18,597,342",tt0429591
Employee of the Month,2006,5.5,"50,495","Comedy, Romance","$28,444,855",tt0424993
Crank,2006,6.9,"265,082","Action, Crime, Thriller","$27,838,408",tt0479884
The Santa Clause 3: The Escape Clause,2006,4.8,"42,821","Adventure, Comedy, Family","$84,500,122",tt0452681
Step Up,2006,6.5,"127,681","Crime, Drama, Music","$65,328,121",tt0462590
Volver,2006,7.6,"107,856","Comedy, Drama","$12,899,867",tt0441909
Infamous,2006,7.0,"18,278","Biography, Crime, Drama","$1,151,330",tt0420609
Find Me Guilty,2006,7.0,"36,405","Biography, Comedy, Crime","$1,173,643",tt0419749
"Paris, I Love You",2006,7.2,"74,669","Comedy, Drama, Romance","$4,899,278",tt0401711
The Astronaut Farmer,2006,6.3,"23,331","Adventure, Drama, Sci-Fi","$11,003,643",tt0469263
Days of Glory,2006,7.0,"15,189","Action, Drama, War","$320,700",tt0444182
Black Snake Moan,2006,6.9,"66,716","Drama, Music","$9,396,870",tt0462200
The Return,2005,4.7,"12,380","Horror, Mystery, Thriller","$7,749,851",tt0433442
Flicka,2006,6.0,"8,550","Adventure, Drama, Family","$21,000,147",tt0434215
Notes on a Scandal,2006,7.4,"84,970","Crime, Drama, Romance","$17,510,118",tt0465551
When a Stranger Calls,2006,5.1,"48,875","Horror, Thriller","$47,860,214",tt0455857
The Hills Have Eyes,2006,6.4,"184,191","Horror, Thriller","$41,778,863",tt0454841
United 93,2006,7.6,"111,235","Action, Drama, History","$31,483,450",tt0475276
The Queen,2006,7.3,"116,221","Biography, Drama","$56,441,711",tt0436697
It's a Boy Girl Thing,2006,6.2,"42,949","Comedy, Fantasy, Romance",$848,tt0482527
Fur: An Imaginary Portrait of Diane Arbus,2006,6.3,"16,389","Biography, Drama, Romance","$223,202",tt0422295
Southland Tales,2006,5.3,"40,750","Comedy, Drama, Mystery","$275,380",tt0405336
American Dreamz,2006,5.5,"25,265","Comedy, Music","$7,191,830",tt0465142
Running Scared,2006,7.3,"103,958","Action, Crime, Drama","$6,855,137",tt0404390
Smokin' Aces,2006,6.6,"152,556","Action, Comedy, Crime","$35,787,686",tt0475394
Beerfest,2006,6.2,"71,573",Comedy,"$19,185,184",tt0486551
Seraphim Falls,2006,6.6,"34,806","Action, Drama, Thriller","$418,296",tt0479537
Renaissance,2006,6.6,"16,452","Animation, Action, Sci-Fi","$70,644",tt0386741
John Tucker Must Die,2006,5.7,"88,722","Comedy, Romance","$41,011,711",tt0455967
Borat,2006,7.4,"446,237",Comedy,"$128,505,958",tt0443453
Letters from Iwo Jima,2006,7.8,"170,682","Action, Adventure, Drama","$13,756,082",tt0498380
Pan's Labyrinth,2006,8.2,"705,755","Drama, Fantasy, War","$37,646,380",tt0457430
One Night with the King,2006,6.0,"7,794","Biography, Drama, History","$13,395,961",tt0430431
School for Scoundrels,2006,5.9,"30,737",Comedy,"$17,807,569",tt0462519
ATL,2006,6.1,"12,338","Comedy, Crime, Drama","$21,170,563",tt0466856
The Marine,2006,4.7,"36,018","Action, Comedy, Drama","$18,844,784",tt0419946
Death Note,2006,7.5,"31,995","Crime, Drama, Fantasy",N/A,tt0758742
She's the Man,2006,6.4,"176,981","Comedy, Romance, Sport","$33,741,133",tt0454945
The Covenant,2006,5.2,"52,238","Adventure, Fantasy, Horror","$23,380,495",tt0475944
The Grudge 2,2006,5.0,"51,623","Horror, Thriller","$39,143,839",tt0433386
Man of the Year,2006,6.2,"35,361","Comedy, Drama, Romance","$37,327,390",tt0483726
Date Movie,2006,2.8,"62,350","Comedy, Romance","$48,548,426",tt0466342
DOA: Dead or Alive,2006,4.8,"46,401","Action, Adventure, Mystery","$480,813",tt0398913
Black Book,2006,7.7,"80,792","Drama, Thriller, War","$4,398,532",tt0389557
Tenacious D in the Pick of Destiny,2006,6.8,"115,657","Adventure, Comedy, Music","$8,334,575",tt0365830
Tales from Earthsea,2006,6.3,"44,479","Animation, Adventure, Fantasy","$48,658",tt0495596
Accepted,2006,6.4,"140,411",Comedy,"$36,323,505",tt0384793
Captain Alatriste: The Spanish Musketeer,2006,6.1,"13,947","Adventure, Drama, History",N/A,tt0395119
Rocky Balboa,2006,7.1,"232,536","Action, Drama, Sport","$70,270,943",tt0479143
The Contract,2006,5.6,"26,140","Action, Crime, Drama",N/A,tt0445946
The Hoax,2006,6.7,"17,220","Biography, Comedy, Drama","$7,164,995",tt0462338
Catch and Release,2006,5.9,"28,686","Comedy, Drama, Romance","$15,539,051",tt0395495
Final Destination 3,2006,5.8,"154,620","Horror, Thriller","$54,098,051",tt0414982
The Omen,2006,5.5,"63,470","Drama, Fantasy, Horror","$54,607,383",tt0466909
Babel,2006,7.5,"318,197",Drama,"$34,302,837",tt0449467
Little Children,2006,7.5,"117,333","Drama, Romance","$5,463,019",tt0404203
Annapolis,2006,5.8,"21,961","Drama, Romance, Sport","$17,127,992",tt0417433
Lucky Number Slevin,2006,7.7,"326,614","Crime, Drama, Thriller","$22,495,466",tt0425210
Just My Luck,2006,5.4,"61,949","Comedy, Fantasy, Romance","$17,326,650",tt0397078
