Title,Year,IMDB Rating,IMDB Votes,Genre,Box Office,IMDB ID,Budget,Revenue
The Treatment,2006,5.8,"1,136","Comedy, Drama, Romance","$83,354",tt0462579,"$900,000.00 ","$82,701.00 "
Kidulthood,2006,6.7,"19,833","Crime, Drama, Romance",N/A,tt0435680,"$994,000.00 ","$165,000.00 "
Who Killed the Electric Car?,2006,7.6,"12,775",Documentary,"$1,678,874",tt0489037,"$1,000,000.00 ","$1,678,874.00 "
An Inconvenient Truth,2006,7.4,"85,329",Documentary,"$24,146,161",tt0497116,"$1,000,000.00 ","$46,243,000.00 "
Journey from the Fall,2006,7.2,939,Drama,"$641,039",tt0433398,"$1,300,000.00 ","$639,000.00 "
Bommarillu,2006,8.2,"9,879","Comedy, Drama, Romance","$650,000",tt0843326,"$1,333,333.00 ","$5,333,333.00 "
Lights in the Dusk,2006,6.8,"7,966","Crime, Drama","$14,056",tt0458242,"$1,380,000.00 ","$1,615,018.00 "
Bamako (The Court),2006,6.7,"1,476",Drama,"$112,351",tt0814666,"$2,000,000.00 ","$111,000.00 "
Death of a President,2006,6.3,"7,041","Crime, Drama, Mystery","$519,086",tt0853096,"$2,000,000.00 ","$167,000.00 "
The TV Set,2006,6.5,"6,049","Comedy, Drama","$265,198",tt0473709,"$2,000,000.00 ","$265,198.00 "
Ten Canoes,2006,6.9,"5,126","Adventure, Comedy, Drama","$283,654",tt0466399,"$2,000,000.00 ","$300,000.00 "
Sherrybaby,2006,6.6,"12,091",Drama,"$199,176",tt0423169,"$2,000,000.00 ","$622,806.00 "
Shortbus,2006,6.4,"35,574","Comedy, Drama, Romance","$2,016,181",tt0367027,"$2,000,000.00 ","$5,179,037.00 "
The Lives of Others,2006,8.4,"412,480","Drama, Mystery, Thriller","$11,286,112",tt0405094,"$2,000,000.00 ","$70,000,000.00 "
